Site,Location,Latitude,Longitude
GWI,Upland,37.2193473,-76.4086216
GWI,Transition,37.2193563,-76.4093138
MSM,Upland,38.4308498,-76.2261609
MSM,Transition,38.4303727,-76.2268487
CRC,Upland,41.61511,-83.22979
CRC,Transition,41.62186,-83.23813
PTR,Upland,41.50154,-83.04621
PTR,Transition,41.50184,-83.04559
OWC,Upland,41.3762,-82.50666
OWC,Transition,41.37591,-82.5064
OWC,Wetland,41.3759,-82.50713
CRC,Wetland,41.62182,-83.23883
PTR,Wetland,41.50177,-83.04432
MSM,Wetland,38.42923257,-76.22767068
GWI,Wetland,37.21935949,-76.40966409
