Logger,Table,loggernet_variable,design_link,research_name
Compass_PTR_UP_313,SapflowA,TIMESTAMP,Timestamp,timestamp
Compass_PTR_UP_313,SapflowA,RECORD,,
Compass_PTR_UP_313,SapflowA,PB,,
Compass_PTR_UP_313,SapflowA,Statname,,
Compass_PTR_UP_313,SapflowA,BattV-Avg,Logger-PTR-UP,voltage
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg({1:8}),SF-PTR-UP-0{1:8},sapflow
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg({9:12}),"SF-PTR-UP-0{1,2,3,8}D",sapflow_deep
Compass_PTR_UP_313,WaterLevel600A,Barometric_Pressure600A,WL-BPress-UP,pressure
Compass_PTR_UP_313,WaterLevel600A,Temperature600A,WL-Temp-UP,temperature
