loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
_Wind_Dir_STD,_wind_dir_std,site,logger,n,wind_dir_std,c3log,number,degrees,standard deviation of wind direction,
_Wind_Dir_STD,_wind_dir_std,site,logger,n,wind_dir_std,c4log,number,degrees,standard deviation of wind direction,
A_DC(1),a_dc1,treatment,T1,y,a_dc,c3log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(1),a_dc1,treatment,T1,y,a_dc,c4log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(2),a_dc2,treatment,T2,y,a_dc,c3log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(2),a_dc2,treatment,T2,y,a_dc,c4log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(3),a_dc3,treatment,T3,y,a_dc,c3log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(3),a_dc3,treatment,T3,y,a_dc,c4log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(4),a_dc4,treatment,eT3,y,a_dc,c3log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC(4),a_dc4,treatment,eT3,y,a_dc,c3log,number,NA,computed duty cycle proportion aboveground (0-1),
A_DC_prev(1),a_dc_prev1,treatment,T1,y,a_dc_prev,c3log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(1),a_dc_prev1,treatment,T1,y,a_dc_prev,c4log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(2),a_dc_prev2,treatment,T2,y,a_dc_prev,c3log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(2),a_dc_prev2,treatment,T2,y,a_dc_prev,c4log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(3),a_dc_prev3,treatment,T3,y,a_dc_prev,c3log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(3),a_dc_prev3,treatment,T3,y,a_dc_prev,c4log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(4),a_dc_prev4,treatment,eT3,y,a_dc_prev,c3log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_DC_prev(4),a_dc_prev4,treatment,eT3,y,a_dc_prev,c3log,number,NA,previously computed (-15 seconds) duty cycle proportion aboveground (0-1),
A_Duty(1),a_duty1,treatment,T1,y,a_duty,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(1),a_duty1,treatment,T1,y,a_duty,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(2),a_duty2,treatment,T2,y,a_duty,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(2),a_duty2,treatment,T2,y,a_duty,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(3),a_duty3,treatment,T3,y,a_duty,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(3),a_duty3,treatment,T3,y,a_duty,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(4),a_duty4,treatment,eT3,y,a_duty,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty(4),a_duty4,treatment,eT3,y,a_duty,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(1),a_duty_avg1,treatment,T1,y,a_duty_avg,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(1),a_duty_avg1,treatment,T1,y,a_duty_avg,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(2),a_duty_avg2,treatment,T2,y,a_duty_avg,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(2),a_duty_avg2,treatment,T2,y,a_duty_avg,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(3),a_duty_avg3,treatment,T3,y,a_duty_avg,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(3),a_duty_avg3,treatment,T3,y,a_duty_avg,c4log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(4),a_duty_avg4,treatment,eT3,y,a_duty_avg,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
A_Duty_Avg(4),a_duty_avg4,treatment,eT3,y,a_duty_avg,c3log,number,NA,computed duty cycle proportion aboveground (0-1) control step,
Above_message(1),above_message1,treatment,T1,y,above_message,c3log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(1),above_message1,treatment,T1,y,above_message,c4log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(2),above_message2,treatment,T2,y,above_message,c3log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(2),above_message2,treatment,T2,y,above_message,c4log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(3),above_message3,treatment,T3,y,above_message,c3log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(3),above_message3,treatment,T3,y,above_message,c4log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(4),above_message4,treatment,eT3,y,above_message,c3log,character,NA,text message stating potential for deviation of treatment reps within site,
Above_message(4),above_message4,treatment,eT3,y,above_message,c3log,character,NA,text message stating potential for deviation of treatment reps within site,
Airtemp,airtemp,site,logger,n,airtemp,c3log,number,degrees Celsius,air temperature in celcius from HMP110,
Airtemp,airtemp,site,logger,n,airtemp,c4log,number,degrees Celsius,air temperature in celcius from HMP110,
Airtemp_Avg,airtemp_avg,site,logger,n,airtemp_avg,c3log,number,degrees Celsius,air temperature in celcius from HMP110,
Airtemp_Avg,airtemp_avg,site,logger,n,airtemp_avg,c4log,number,degrees Celsius,air temperature in celcius from HMP110,
AMB_A(1),amb_a1,treatment,T1,y,amb_a,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(1),amb_a1,treatment,T1,y,amb_a,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(2),amb_a2,treatment,T2,y,amb_a,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(2),amb_a2,treatment,T2,y,amb_a,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(3),amb_a3,treatment,T3,y,amb_a,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(3),amb_a3,treatment,T3,y,amb_a,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(4),amb_a4,treatment,eT3,y,amb_a,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A(4),amb_a4,treatment,eT3,y,amb_a,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(1),amb_a_avg1,treatment,T1,y,amb_a_avg,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(1),amb_a_avg1,treatment,T1,y,amb_a_avg,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(2),amb_a_avg2,treatment,T2,y,amb_a_avg,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(2),amb_a_avg2,treatment,T2,y,amb_a_avg,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(3),amb_a_avg3,treatment,T3,y,amb_a_avg,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(3),amb_a_avg3,treatment,T3,y,amb_a_avg,c4log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(4),amb_a_avg4,treatment,eT3,y,amb_a_avg,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Avg(4),amb_a_avg4,treatment,eT3,y,amb_a_avg,c3log,number,degrees Celsius,spatial average of ambient aboveground temperature (celsius),
AMB_A_Std(1),amb_a_std1,treatment,T1,y,amb_a_std,c3log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(1),amb_a_std1,treatment,T1,y,amb_a_std,c4log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(2),amb_a_std2,treatment,T2,y,amb_a_std,c3log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(2),amb_a_std2,treatment,T2,y,amb_a_std,c4log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(3),amb_a_std3,treatment,T3,y,amb_a_std,c3log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
