loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
AMB_A_Std(3),amb_a_std3,treatment,T3,y,amb_a_std,c4log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(4),amb_a_std4,treatment,eT3,y,amb_a_std,c3log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
AMB_A_Std(4),amb_a_std4,treatment,eT3,y,amb_a_std,c3log,number,degrees Celsius,spatial standard deviation of ambient aboveground temperature (celsius),
Amb_Aa_Avg,amb_aa_avg,site,logger,n,amb_aa_avg,c3log,number,degrees Celsius,variable of record for internal ambient aboveground spatial average,
Amb_Aa_Avg,amb_aa_avg,site,logger,n,amb_aa_avg,c4log,number,degrees Celsius,variable of record for internal ambient aboveground spatial average,
Amb_Aa_Std,amb_aa_std,site,logger,n,amb_aa_std,c3log,number,degrees Celsius,standard deviation of variable of record for internal ambient aboveground spatial average,
Amb_Aa_Std,amb_aa_std,site,logger,n,amb_aa_std,c4log,number,degrees Celsius,standard deviation of variable of record for internal ambient aboveground spatial average,
AMB_B(1),amb_b1,treatment,T1,y,amb_b,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(1),amb_b1,treatment,T1,y,amb_b,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(2),amb_b2,treatment,T2,y,amb_b,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(2),amb_b2,treatment,T2,y,amb_b,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(3),amb_b3,treatment,T3,y,amb_b,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(3),amb_b3,treatment,T3,y,amb_b,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(4),amb_b4,treatment,eT3,y,amb_b,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B(4),amb_b4,treatment,eT3,y,amb_b,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius),
AMB_B2(1),amb_b21,treatment,T1,y,amb_b2,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(1),amb_b21,treatment,T1,y,amb_b2,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(2),amb_b22,treatment,T2,y,amb_b2,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(2),amb_b22,treatment,T2,y,amb_b2,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(3),amb_b23,treatment,T3,y,amb_b2,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(3),amb_b23,treatment,T3,y,amb_b2,c4log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
AMB_B2(4),amb_b24,treatment,eT3,y,amb_b2,c3log,number,degrees Celsius,spatial average of ambient belowground temperature (celsius) used for control,
Amb_Ba_Avg,amb_ba_avg,site,logger,n,amb_ba_avg,c3log,number,degrees Celsius,variable of record for internal ambient belowground spatial average,
Amb_Ba_Avg,amb_ba_avg,site,logger,n,amb_ba_avg,c4log,number,degrees Celsius,variable of record for internal ambient belowground spatial average,
AMB_BeT0,amb_bet0,site,logger,y,amb_bet0,c3log,number,degrees Celsius,internal ambient belowground spatial average from ambient non elevated co2 thermocuples (lag and pin) ,
AMB_BT0,amb_bt0,site,logger,y,amb_bt0,c3log,number,degrees Celsius,internal ambient belowground spatial average from ambient elevated co2 thermocuples (lag and pin) ,
AMB_BT0,amb_bt0,site,logger,y,amb_bt0,c4log,number,degrees Celsius,internal ambient belowground spatial average,
Amb_EXT_Avg,amb_ext_avg,site,logger,n,amb_ext_avg,c3log,number,degrees Celsius,external ambient aboveground spatial average,
Amb_EXT_Avg,amb_ext_avg,site,logger,n,amb_ext_avg,c4log,number,degrees Celsius,external ambient aboveground spatial average,
Amb_EXT_Std,amb_ext_std,site,logger,n,amb_ext_std,c3log,number,degrees Celsius, Standard deviation external ambient aboveground spatial average,
Amb_EXT_Std,amb_ext_std,site,logger,n,amb_ext_std,c4log,number,degrees Celsius, Standard deviation external ambient aboveground spatial average,
Amb_EXTb_Avg,amb_extb_avg,site,logger,n,amb_extb_avg,c3log,number,degrees Celsius,external ambient belowground spatial average,
Amb_EXTb_Avg,amb_extb_avg,site,logger,n,amb_extb_avg,c4log,number,degrees Celsius,external ambient belowground spatial average,
AMB_R(1),amb_r1,treatment,T1,y,amb_r,c3log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(1),amb_r1,treatment,T1,y,amb_r,c4log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(2),amb_r2,treatment,T2,y,amb_r,c3log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(2),amb_r2,treatment,T2,y,amb_r,c4log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(3),amb_r3,treatment,T3,y,amb_r,c3log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(3),amb_r3,treatment,T3,y,amb_r,c4log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AMB_R(4),amb_r4,treatment,eT3,y,amb_r,c3log,number,degrees Celsius,external ambient belowground running average 90 seconds,
AmbX,ambx,site,logger,n,ambx,c3log,number,degrees Celsius,variable of record for external ambient aboveground spatial average,
AmbX,ambx,site,logger,n,ambx,c4log,number,degrees Celsius,variable of record for external ambient aboveground spatial average,
AmbX_Avg,ambx_avg,site,logger,n,ambx_avg,c3log,number,degrees Celsius,variable of record for external ambient aboveground spatial average,
AmbX_Avg,ambx_avg,site,logger,n,ambx_avg,c4log,number,degrees Celsius,variable of record for external ambient aboveground spatial average,
AmbXb(1),ambxb1,site,logger,n,ambxb1,c3log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb(1),ambxb1,site,logger,n,ambxb1,c4log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb(2),ambxb2,site,logger,n,ambxb2,c3log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb(2),ambxb2,site,logger,n,ambxb2,c4log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb_Avg(1),ambxb_avg1,site,logger,n,ambxb_avg1,c3log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb_Avg(1),ambxb_avg1,site,logger,n,ambxb_avg1,c4log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb_Avg(2),ambxb_avg2,site,logger,n,ambxb_avg2,c3log,number,degrees Celsius,external belowground ambient temperature (celsius),
AmbXb_Avg(2),ambxb_avg2,site,logger,n,ambxb_avg2,c4log,number,degrees Celsius,external belowground ambient temperature (celsius),
Ard_Duty(1),ard_duty1,treatment,T1,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(1),ard_duty1,treatment,T1,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(2),ard_duty2,treatment,T2,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(2),ard_duty2,treatment,T2,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(3),ard_duty3,treatment,T3,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(3),ard_duty3,treatment,T3,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(4),ard_duty4,treatment,eT3,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty(5),ard_duty5,treatment,T1,y,b_ard_duty,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(5),ard_duty5,treatment,T1,y,b_ard_duty,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(6),ard_duty6,treatment,T2,y,b_ard_duty,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(6),ard_duty6,treatment,T2,y,b_ard_duty,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(7),ard_duty7,treatment,T3,y,b_ard_duty,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(7),ard_duty7,treatment,T3,y,b_ard_duty,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty(8),ard_duty8,treatment,eT3,y,b_ard_duty,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(1),ard_duty_avg1,treatment,T1,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(1),ard_duty_avg1,treatment,T1,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(2),ard_duty_avg2,treatment,T2,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(2),ard_duty_avg2,treatment,T2,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(3),ard_duty_avg3,treatment,T3,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(3),ard_duty_avg3,treatment,T3,y,a_ard_duty,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(4),ard_duty_avg4,treatment,eT3,y,a_ard_duty,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_Avg(5),ard_duty_avg5,treatment,T1,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(5),ard_duty_avg5,treatment,T1,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(6),ard_duty_avg6,treatment,T2,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(6),ard_duty_avg6,treatment,T2,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(7),ard_duty_avg7,treatment,T3,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(7),ard_duty_avg7,treatment,T3,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_Avg(8),ard_duty_avg8,treatment,eT3,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(1),ard_duty_sup1,treatment,T1,y,a_ard_duty_sup,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(1),ard_duty_sup1,treatment,T1,y,a_ard_duty_sup,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(2),ard_duty_sup2,treatment,T2,y,a_ard_duty_sup,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(2),ard_duty_sup2,treatment,T2,y,a_ard_duty_sup,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(3),ard_duty_sup3,treatment,T3,y,a_ard_duty_sup,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(3),ard_duty_sup3,treatment,T3,y,a_ard_duty_sup,c4log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(4),ard_duty_sup4,treatment,eT3,y,a_ard_duty_sup,c3log,number,NA,aboveground arduino duty cycle proportion (0-1000 milliseconds),
Ard_Duty_sup(5),ard_duty_sup5,treatment,T1,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(5),ard_duty_sup5,treatment,T1,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(6),ard_duty_sup6,treatment,T2,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(6),ard_duty_sup6,treatment,T2,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(7),ard_duty_sup7,treatment,T3,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(7),ard_duty_sup7,treatment,T3,y,b_ard_duty_sup,c4log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Duty_sup(8),ard_duty_sup8,treatment,eT3,y,b_ard_duty_sup,c3log,number,NA,belowground arduino duty cycle proportion (0-4000 milliseconds),
Ard_Result,ard_result,site,logger,n,ard_result,c4log,number,NA,NA,
Ard_Result,ard_result,site,logger,n,ard_result,c3log,number,NA,NA,
ATarget(1),atarget1,treatment,T1,y,atarget,c3log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(1),atarget1,treatment,T1,y,atarget,c4log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(2),atarget2,treatment,T2,y,atarget,c3log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(2),atarget2,treatment,T2,y,atarget,c4log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(3),atarget3,treatment,T3,y,atarget,c3log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(3),atarget3,treatment,T3,y,atarget,c4log,number,degrees Celsius,warming target set point (delta in Celsius),
ATarget(4),atarget4,treatment,eT3,y,atarget,c3log,number,degrees Celsius,warming target set point (delta in Celsius),
Atemp_T_Avg(1),atemp_t_avg1,plot,310,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(1),atemp_t_avg1,plot,440,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(10),atemp_t_avg10,plot,313,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(10),atemp_t_avg10,plot,443,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(11),atemp_t_avg11,plot,323,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(11),atemp_t_avg11,plot,453,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(12),atemp_t_avg12,plot,333,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(12),atemp_t_avg12,plot,463,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(13),atemp_t_avg13,plot,610,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(14),atemp_t_avg14,plot,620,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(15),atemp_t_avg15,plot,630,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(16),atemp_t_avg16,plot,613,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(17),atemp_t_avg17,plot,623,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(18),atemp_t_avg18,plot,633,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(2),atemp_t_avg2,plot,320,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(2),atemp_t_avg2,plot,450,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(3),atemp_t_avg3,plot,330,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(3),atemp_t_avg3,plot,460,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(4),atemp_t_avg4,plot,311,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(4),atemp_t_avg4,plot,441,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(5),atemp_t_avg5,plot,321,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(5),atemp_t_avg5,plot,451,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(6),atemp_t_avg6,plot,331,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(6),atemp_t_avg6,plot,461,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(7),atemp_t_avg7,plot,312,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(7),atemp_t_avg7,plot,442,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(8),atemp_t_avg8,plot,322,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(8),atemp_t_avg8,plot,452,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(9),atemp_t_avg9,plot,332,y,atemp_avg,c3log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
Atemp_T_Avg(9),atemp_t_avg9,plot,462,y,atemp_avg,c4log,number,degrees Celsius,variable of record for aboveground temperature in plots (celsius),
B_DC(1),b_dc1,treatment,T1,y,b_dc,c3log,number,NA,computed duty cycle proportion belowground (0-1),
B_DC(1),b_dc1,treatment,T1,y,b_dc,c4log,number,NA,computed duty cycle proportion belowground (0-1),
B_DC(2),b_dc2,treatment,T2,y,b_dc,c3log,number,NA,computed duty cycle proportion belowground (0-1),
B_DC(2),b_dc2,treatment,T2,y,b_dc,c4log,number,NA,computed duty cycle proportion belowground (0-1),
B_DC(3),b_dc3,treatment,T3,y,b_dc,c3log,number,NA,computed duty cycle proportion belowground (0-1),
B_DC(3),b_dc3,treatment,T3,y,b_dc,c4log,number,NA,computed duty cycle proportion belowground (0-1),
