loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,lat,long,offset_cm,type,units,definition,table
Actual_Conductivity,actual_conductivity,site,logger,n,actual_conductivity,c3log,NA,NA,45,number,microsiemens per centimeter,actual conductivity,waterlevel
Actual_Conductivity,actual_conductivity,site,logger,n,actual_conductivity,c4log,NA,NA,65,number,microsiemens per centimeter,actual conductivity,waterlevel
Actual_Conductivity,actual_conductivity,site,logger,n,actual_conductivity,gcrew_met,NA,NA,58,number,microsiemens per centimeter,actual conductivity,waterlevel
Actual_Conductivity,actual_conductivity,site,logger,n,actual_conductivity,genx,NA,NA,-76,number,microsiemens per centimeter,actual conductivity,waterlevel
Aquatroll_ID(2),aquatroll_id2,site,logger,n,aquatroll_id,gcrew_met,NA,NA,58,character,NA,ID for Aquatroll sensor,waterlevel
Aquatroll_ID(2),aquatroll_id2,site,logger,n,aquatroll_id,genx,NA,NA,-76,character,NA,ID for Aquatroll sensor,waterlevel
Depth,depth,site,logger,n,depth,c3log,NA,NA,45,number,centimeters,depth of sensor,waterlevel
Depth,depth,site,logger,n,depth,c4log,NA,NA,65,number,centimeters,depth of sensor,waterlevel
Depth,depth,site,logger,n,depth,gcrew_met,NA,NA,58,number,centimeters,depth of sensor,waterlevel
Depth,depth,site,logger,n,depth,genx,NA,NA,-76,number,centimeters,depth of sensor,waterlevel
Logger,logger,site,logger,n,logger,c3log,NA,NA,45,character,NA,logger name,waterlevel
Logger,logger,site,logger,n,logger,c4log,NA,NA,65,character,NA,logger name,waterlevel
Logger,logger,site,logger,n,logger,gcrew_met,NA,NA,58,character,NA,logger name,waterlevel
Logger,logger,site,logger,n,logger,genx,NA,NA,-76,character,NA,logger name,waterlevel
Pressure,pressure,site,logger,n,pressure,c3log,NA,NA,45,number,pounds per square inch,atmospheric pressure,waterlevel
Pressure,pressure,site,logger,n,pressure,c4log,NA,NA,65,number,pounds per square inch,atmospheric pressure,waterlevel
Pressure,pressure,site,logger,n,pressure,gcrew_met,NA,NA,58,number,pounds per square inch,atmospheric pressure,waterlevel
Pressure,pressure,site,logger,n,pressure,genx,NA,NA,-76,number,pounds per square inch,atmospheric pressure,waterlevel
Program,program,site,logger,n,program,c3log,NA,NA,45,character,NA,program version,waterlevel
Program,program,site,logger,n,program,c4log,NA,NA,65,character,NA,program version,waterlevel
Program,program,site,logger,n,program,gcrew_met,NA,NA,58,character,NA,program version,waterlevel
