loggernet_variable,cr1000_name,design_scale_type,design_link,var_norm_split,research_name,logger,type,units,definition,table
Batt_volt_Min,batt_volt_min,site,logger,n,batt_volt_min,co2_log,number,volts,default CR1000 battery voltage measurement,co2_log
co2(1),co21,plot,610,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2(2),co22,plot,620,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2(3),co23,plot,630,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2(4),co24,plot,613,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2(5),co25,plot,623,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2(6),co26,plot,633,y,co2,co2_log,number,parts per million,carbon dioxide concentration,co2_log
co2ave_2(1),co2ave_21,plot,610,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_2(2),co2ave_22,plot,620,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_2(3),co2ave_23,plot,630,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_2(4),co2ave_24,plot,613,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_2(5),co2ave_25,plot,623,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_2(6),co2ave_26,plot,633,y,co2ave_2,co2_log,number,parts per million,2 minute average of carbon dioxide concentration,co2_log
co2ave_5(1),co2ave_51,plot,610,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2ave_5(2),co2ave_52,plot,620,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2ave_5(3),co2ave_53,plot,630,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2ave_5(4),co2ave_54,plot,613,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2ave_5(5),co2ave_55,plot,623,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2ave_5(6),co2ave_56,plot,633,y,co2ave_5,co2_log,number,parts per million,5 minute average of carbon dioxide concentration,co2_log
co2sd_5(1),co2sd_51,plot,610,y,co2sd_5,co2_log,number,parts per million,standard deviation of carbon dioxide concentration over 5 minutes,co2_log
