datalogger_name,aquaTROLL600_name
TIMESTAMP,Date Time
Aquatroll_ID(1),Device Id (in file header)
Barometric_Pressure600,16: Barometer (16) mmHg (22)
Temperature600,13: Temperature (1) °C (1)
Actual_Conductivity600,7: Actual Conductivity (9) µS/cm (65)
Specific_Conductivity600,8: Specific Conductivity (10) µS/cm (65)
Salinity600,9: Salinity (12) PSU (97)
TDS600,12: Total Dissolved Solids (13) ppt (114)
Water_Density600,11: Water Density (14) g/cm³ (129)
Resistivity600,10: Resistivity (11) ohm-cm (81)
pH600,1: pH (17) pH (145)
pH_mV600,2: pH mV (18) mV (162)
pH_ORP600,3: ORP mV (19) mV (162)
RDO_concen600,4: Dissolved Oxygen (20) mg/L (117)
RDO_perc_sat600,5: Dissolved Oxygen (21) %sat (177)
RDO_part_Pressure600,6: Partial Pressure Oxygen (30) Torr (26)
Pressure600,17: Pressure (2) psi (17)
Depth600,18: Depth (3) cm (34)
Voltage_Ext600,14: External (32) V (163)
Battery_Int600,15: Battery (33) % (241)
