"Logger","Table","Format","TIMESTAMP","RECORD","PB","Statname","BattV_Avg","TerosA(1,1)","TerosA(1,2)","TerosA(1,3)","TerosA(2,1)","TerosA(2,2)","TerosA(2,3)"
"Compass_PTR_UP_313","TerosTableA","TOA5","2022-11-09 00:00:00",16933,313,"COMPASS_PTR_UP",11.85,2120.68,10.7,7,2103.53,11,4
"Compass_PTR_UP_313","TerosTableA","TOA5","2022-11-09 00:15:00",16934,313,"COMPASS_PTR_UP",11.85,2120.48,10.7,8,2103.29,11,5
"Compass_PTR_UP_313","TerosTableA","TOA5","2022-11-09 00:30:00",16935,313,"COMPASS_PTR_UP",11.85,2119.33,10.7,7,2104.28,11,5
