Timestamp,Logger_ID,Well_Name,Probe_Name,Plot,Year,Temp,Specific_Conductivity,Salinity,Depth,Pressure_mbar,Pressurehead.m,Resistivity,Instrument,DO_sat,DO_mgl,pH,ORP,eH,Density,WLfromsurface.m,Head.m,f_spc,f_sal,f_wl,f_do.sat,f_do.mgl,f_ph,f_eh,Flag
2019-11-20T09:45:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.2,1017.9482719999999,0.14153816188149898,99999,TROLL600,74.53,7.44,7.5,-1.1,205.17399999999998,0.999,-2.2434618381185008,-2.171561838118501,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T10:00:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.5,1018.2930119999999,0.14298835689082628,99999,TROLL600,74.33,7.42,7.07,-2.1,204.17399999999998,0.999,-2.2420116431091737,-2.170111643109174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T10:15:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.4,1018.224064,0.1424649093730783,99999,TROLL600,73.83,7.37,8.08,-10.5,195.77399999999997,0.999,-2.2425350906269217,-2.170635090626922,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T10:30:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.5,1018.2930119999999,0.14180089957241085,99999,TROLL600,73.5,7.34,7.3,-14.9,191.37399999999997,0.999,-2.243199100427589,-2.1712991004275892,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T10:45:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.4,1018.224064,0.14202088879985972,99999,TROLL600,72.79,7.27,6.98,3.3,209.57399999999998,0.999,-2.2429791112001403,-2.1710791112001404,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T11:00:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.4,1018.1551159999999,0.14030488027894442,99999,TROLL600,71.94,7.18,6.96,-0.8,205.47399999999996,0.999,-2.2446951197210554,-2.1727951197210555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T11:15:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.3,1018.01722,0.14070573048409393,99999,TROLL600,71.26,7.12,8.25,-1.3,204.97399999999996,0.999,-2.244294269515906,-2.172394269515906,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T11:30:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.2,1017.9482719999999,0.14017717928159526,99999,TROLL600,70.61,7.05,7.16,-1.3,204.97399999999996,0.999,-2.2448228207184044,-2.1729228207184046,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T11:45:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058.3,1018.01722,0.14188468166126175,99999,TROLL600,70.25,7.02,6.64,179.5,385.774,0.999,-2.243115318338738,-2.171215318338738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T12:00:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.65,0.07,0,1057.9,1017.6724799999998,0.13898844263953447,99999,TROLL600,69.71,6.96,6.85,8.8,215.08499999999998,0.999,-2.2460115573604655,-2.1741115573604657,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2019-11-20T12:15:00Z,PNNL_23,GW6,TEMPEST_F_600_GW6,Freshwater,2019,15.66,0.07,0,1058,1017.7414279999998,0.14137643631915225,99999,TROLL600,69.44,6.93,7.52,54.5,260.774,0.999,-2.2436235636808477,-2.171723563680848,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
