site,logger,rowid,time2,timestamp,actual_conductivity,depth,pressure,record,resistivity,salinity,specific_conductivity,tds,temperature,water_density
c3,c3log,gcrew_2020-07-29 12:00:00_c3log,2020-07-29 12:00:00,2020-07-29 12:00:00,16057.88,43.04602,0.619605,38877,62.27472,9.89356,16629.83,10.80939,23.19933,1.004948
c3,c3log,gcrew_2020-07-29 12:15:00_c3log,2020-07-29 12:15:00,2020-07-29 12:15:00,16063.39,43.02264,0.619268,38878,62.25334,9.89679,16634.82,10.81263,23.20152,1.00495
c3,c3log,gcrew_2020-07-29 12:30:00_c3log,2020-07-29 12:30:00,2020-07-29 12:30:00,16061.5,42.84898,0.616769,38879,62.26066,9.89531,16632.51,10.81113,23.20258,1.004949
c3,c3log,gcrew_2020-07-29 12:45:00_c3log,2020-07-29 12:45:00,2020-07-29 12:45:00,16050.6,42.8356,0.616576,38880,62.30295,9.88768,16620.67,10.80344,23.20425,1.004943
c3,c3log,gcrew_2020-07-29 13:00:00_c3log,2020-07-29 13:00:00,2020-07-29 13:00:00,16061.51,42.79339,0.615969,38881,62.26066,9.89466,16631.47,10.81046,23.20574,1.004948
c3,c3log,gcrew_2020-07-29 13:15:00_c3log,2020-07-29 13:15:00,2020-07-29 13:15:00,16064.76,42.76013,0.61549,38882,62.24805,9.89651,16634.32,10.81231,23.20732,1.004948
c3,c3log,gcrew_2020-07-29 13:30:00_c3log,2020-07-29 13:30:00,2020-07-29 13:30:00,16065.12,42.71435,0.614831,38883,62.24666,9.89645,16634.23,10.81225,23.20873,1.004948
c3,c3log,gcrew_2020-07-29 13:45:00_c3log,2020-07-29 13:45:00,2020-07-29 13:45:00,16063.99,42.69971,0.61462,38884,62.25104,9.89528,16632.4,10.81106,23.21076,1.004947
c3,c3log,gcrew_2020-07-29 14:00:00_c3log,2020-07-29 14:00:00,2020-07-29 14:00:00,16067.25,42.64942,0.613896,38885,62.23842,9.89742,16635.71,10.81321,23.21092,1.004948
c3,c3log,gcrew_2020-07-29 14:15:00_c3log,2020-07-29 14:15:00,2020-07-29 14:15:00,16067.33,42.60205,0.613215,38886,62.2381,9.89715,16635.28,10.81293,23.2125,1.004948
c3,c3log,gcrew_2020-07-29 14:30:00_c3log,2020-07-29 14:30:00,2020-07-29 14:30:00,16064.74,42.53678,0.612275,38887,62.24812,9.89506,16632.02,10.81081,23.21426,1.004946
c3,c3log,gcrew_2020-07-29 14:45:00_c3log,2020-07-29 14:45:00,2020-07-29 14:45:00,16069.48,42.50551,0.611825,38888,62.22977,9.89771,16636.12,10.81347,23.21672,1.004947
c3,c3log,gcrew_2020-07-29 15:00:00_c3log,2020-07-29 15:00:00,2020-07-29 15:00:00,16073.21,42.44475,0.61095,38889,62.21532,9.8995,16638.85,10.81525,23.22015,1.004947
c3,c3log,gcrew_2020-07-29 15:15:00_c3log,2020-07-29 15:15:00,2020-07-29 15:15:00,16075.06,42.41978,0.610591,38890,62.20816,9.89966,16639.06,10.81539,23.22533,1.004946
c3,c3log,gcrew_2020-07-29 15:30:00_c3log,2020-07-29 15:30:00,2020-07-29 15:30:00,16070.4,42.35114,0.609603,38891,62.22622,9.89598,16633.34,10.81167,23.22806,1.004943
c3,c3log,gcrew_2020-07-29 15:45:00_c3log,2020-07-29 15:45:00,2020-07-29 15:45:00,16075.43,42.30337,0.608915,38892,62.20675,9.89894,16637.91,10.81464,23.22999,1.004945
c3,c3log,gcrew_2020-07-29 16:00:00_c3log,2020-07-29 16:00:00,2020-07-29 16:00:00,16082.49,42.31775,0.609122,38893,62.17944,9.90357,16645.07,10.81929,23.23043,1.004948
c3,c3log,gcrew_2020-07-29 16:15:00_c3log,2020-07-29 16:15:00,2020-07-29 16:15:00,16084.69,42.23407,0.607918,38894,62.17092,9.90456,16646.6,10.82029,23.23272,1.004948
c3,c3log,gcrew_2020-07-29 16:30:00_c3log,2020-07-29 16:30:00,2020-07-29 16:30:00,16084.52,42.21127,0.60759,38895,62.17156,9.90418,16645.99,10.81989,23.23403,1.004947
c3,c3log,gcrew_2020-07-29 16:45:00_c3log,2020-07-29 16:45:00,2020-07-29 16:45:00,16080.13,42.26249,0.608327,38896,62.18854,9.90114,16641.28,10.81683,23.23456,1.004945
c3,c3log,gcrew_2020-07-29 17:00:00_c3log,2020-07-29 17:00:00,2020-07-29 17:00:00,16076.99,42.22499,0.607787,38897,62.20069,9.89877,16637.59,10.81443,23.23588,1.004943
c3,c3log,gcrew_2020-07-29 17:15:00_c3log,2020-07-29 17:15:00,2020-07-29 17:15:00,16078.59,42.23943,0.607995,38898,62.19451,9.89974,16639.1,10.81542,23.23631,1.004943
c3,c3log,gcrew_2020-07-29 17:30:00_c3log,2020-07-29 17:30:00,2020-07-29 17:30:00,16080.93,42.17364,0.607048,38899,62.18546,9.90145,16641.75,10.81714,23.23561,1.004945
c3,c3log,gcrew_2020-07-29 17:45:00_c3log,2020-07-29 17:45:00,2020-07-29 17:45:00,16082.75,42.15595,0.606793,38900,62.17842,9.90274,16643.75,10.81844,23.23526,1.004946
c3,c3log,gcrew_2020-07-29 18:00:00_c3log,2020-07-29 18:00:00,2020-07-29 18:00:00,16058.31,42.14575,0.606647,38901,62.27307,9.88641,16618.46,10.802,23.23526,1.004934
c3,c3log,gcrew_2020-07-29 18:15:00_c3log,2020-07-29 18:15:00,2020-07-29 18:15:00,16080.39,42.15065,0.606717,38902,62.18756,9.90113,16641.25,10.81681,23.23544,1.004945
c3,c3log,gcrew_2020-07-29 18:30:00_c3log,2020-07-29 18:30:00,2020-07-29 18:30:00,16083.89,42.14144,0.606585,38903,62.17403,9.90347,16644.87,10.81917,23.23544,1.004946
c3,c3log,gcrew_2020-07-29 18:45:00_c3log,2020-07-29 18:45:00,2020-07-29 18:45:00,16084.76,42.11428,0.606194,38904,62.17066,9.90408,16645.83,10.81979,23.23526,1.004947
c3,c3log,gcrew_2020-07-29 19:00:00_c3log,2020-07-29 19:00:00,2020-07-29 19:00:00,16089.57,42.15595,0.606793,38905,62.15207,9.9073,16650.81,10.82303,23.23526,1.004949
c3,c3log,gcrew_2020-07-29 19:15:00_c3log,2020-07-29 19:15:00,2020-07-29 19:15:00,16086.1,42.27355,0.608486,38906,62.16549,9.90489,16647.07,10.8206,23.2357,1.004948
c3,c3log,gcrew_2020-07-29 19:30:00_c3log,2020-07-29 19:30:00,2020-07-29 19:30:00,16090.74,42.09009,0.605845,38907,62.14755,9.90784,16651.65,10.82357,23.23641,1.00495
c3,c3log,gcrew_2020-07-29 19:45:00_c3log,2020-07-29 19:45:00,2020-07-29 19:45:00,16092.77,42.11759,0.606241,38908,62.1397,9.9094,16654.07,10.82514,23.23544,1.004951
c3,c3log,gcrew_2020-07-29 20:00:00_c3log,2020-07-29 20:00:00,2020-07-29 20:00:00,16093.07,42.09009,0.605845,38909,62.13856,9.90987,16654.8,10.82562,23.23412,1.004952
c3,c3log,gcrew_2020-07-29 20:15:00_c3log,2020-07-29 20:15:00,2020-07-29 20:15:00,16090.11,42.0673,0.605517,38910,62.14999,9.90777,16651.54,10.8235,23.23473,1.00495
c3,c3log,gcrew_2020-07-29 20:30:00_c3log,2020-07-29 20:30:00,2020-07-29 20:30:00,16090.42,42.10374,0.606042,38911,62.14879,9.90783,16651.63,10.82356,23.23544,1.00495
c3,c3log,gcrew_2020-07-29 20:45:00_c3log,2020-07-29 20:45:00,2020-07-29 20:45:00,16090.87,42.09493,0.605915,38912,62.14706,9.90808,16652.01,10.8238,23.2357,1.00495
c3,c3log,gcrew_2020-07-29 21:00:00_c3log,2020-07-29 21:00:00,2020-07-29 21:00:00,16092.8,42.09009,0.605845,38913,62.13958,9.90924,16653.81,10.82498,23.23631,1.004951
c3,c3log,gcrew_2020-07-29 21:15:00_c3log,2020-07-29 21:15:00,2020-07-29 21:15:00,16095.38,42.08029,0.605704,38914,62.12962,9.91093,16656.42,10.82667,23.2365,1.004952
c3,c3log,gcrew_2020-07-29 21:30:00_c3log,2020-07-29 21:30:00,2020-07-29 21:30:00,16093.02,42.07671,0.605653,38915,62.13874,9.9093,16653.89,10.82503,23.23676,1.004951
c3,c3log,gcrew_2020-07-29 21:45:00_c3log,2020-07-29 21:45:00,2020-07-29 21:45:00,16093.18,42.05279,0.605309,38916,62.13811,9.90912,16653.6,10.82484,23.23816,1.00495
c3,c3log,gcrew_2020-07-29 22:00:00_c3log,2020-07-29 22:00:00,2020-07-29 22:00:00,16095.35,42.09493,0.605915,38917,62.12973,9.91042,16655.61,10.82615,23.23886,1.004951
c3,c3log,gcrew_2020-07-29 22:15:00_c3log,2020-07-29 22:15:00,2020-07-29 22:15:00,16093.14,42.05279,0.605309,38918,62.13828,9.90892,16653.29,10.82464,23.23895,1.00495
c3,c3log,gcrew_2020-07-29 22:30:00_c3log,2020-07-29 22:30:00,2020-07-29 22:30:00,16098.92,42.07671,0.605653,38919,62.11598,9.91258,16658.95,10.82832,23.23991,1.004952
c3,c3log,gcrew_2020-07-29 22:45:00_c3log,2020-07-29 22:45:00,2020-07-29 22:45:00,16098.1,42.02013,0.604838,38920,62.11914,9.91191,16657.9,10.82763,23.24053,1.004952
c3,c3log,gcrew_2020-07-29 23:00:00_c3log,2020-07-29 23:00:00,2020-07-29 23:00:00,16103.73,42.05783,0.605381,38921,62.09743,9.91552,16663.5,10.83127,23.24123,1.004954
c3,c3log,gcrew_2020-07-29 23:15:00_c3log,2020-07-29 23:15:00,2020-07-29 23:15:00,16100.43,42.01549,0.604772,38922,62.11014,9.91323,16659.94,10.82896,23.24167,1.004952
c3,c3log,gcrew_2020-07-29 23:30:00_c3log,2020-07-29 23:30:00,2020-07-29 23:30:00,16099.75,42.02013,0.604838,38923,62.11275,9.91258,16658.92,10.8283,23.24264,1.004952
c3,c3log,gcrew_2020-07-29 23:45:00_c3log,2020-07-29 23:45:00,2020-07-29 23:45:00,16099.49,42.05783,0.605381,38924,62.11378,9.91225,16658.41,10.82797,23.24335,1.004951
c3,c3log,gcrew_2020-07-30 00:00:00_c3log,2020-07-30 00:00:00,2020-07-30 00:00:00,16098.56,42.01549,0.604772,38925,62.11735,9.91136,16657.02,10.82706,23.24466,1.00495
c3,c3log,gcrew_2020-07-30 00:15:00_c3log,2020-07-30 00:15:00,2020-07-30 00:15:00,16102.96,42.02013,0.604838,38926,62.10039,9.91424,16661.49,10.82997,23.24492,1.004952
c3,c3log,gcrew_2020-07-30 00:30:00_c3log,2020-07-30 00:30:00,2020-07-30 00:30:00,16100.95,42.04849,0.605247,38927,62.10813,9.91276,16659.18,10.82846,23.24563,1.004951
c3,c3log,gcrew_2020-07-30 00:45:00_c3log,2020-07-30 00:45:00,2020-07-30 00:45:00,16098.74,42.03437,0.605043,38928,62.11666,9.911,16656.45,10.82669,23.24695,1.004949
c3,c3log,gcrew_2020-07-30 01:00:00_c3log,2020-07-30 01:00:00,2020-07-30 01:00:00,16103.42,42.00217,0.60458,38929,62.09861,9.91399,16661.06,10.82969,23.24765,1.004951
c3,c3log,gcrew_2020-07-30 01:15:00_c3log,2020-07-30 01:15:00,2020-07-30 01:15:00,16104.28,41.97812,0.604234,38930,62.09528,9.91435,16661.61,10.83005,23.2487,1.004951
c3,c3log,gcrew_2020-07-30 01:30:00_c3log,2020-07-30 01:30:00,2020-07-30 01:30:00,16103.49,42.00217,0.60458,38931,62.09833,9.91363,16660.5,10.82933,23.24958,1.004951
c3,c3log,gcrew_2020-07-30 01:45:00_c3log,2020-07-30 01:45:00,2020-07-30 01:45:00,16102.52,42.02013,0.604838,38932,62.10208,9.91276,16659.15,10.82845,23.25064,1.00495
c3,c3log,gcrew_2020-07-30 02:00:00_c3log,2020-07-30 02:00:00,2020-07-30 02:00:00,16105.34,42.00217,0.60458,38933,62.09121,9.91461,16662.01,10.83031,23.25081,1.004951
c3,c3log,gcrew_2020-07-30 02:15:00_c3log,2020-07-30 02:15:00,2020-07-30 02:15:00,16104.19,41.99277,0.604445,38934,62.09563,9.91354,16660.33,10.82922,23.2523,1.00495
c3,c3log,gcrew_2020-07-30 02:30:00_c3log,2020-07-30 02:30:00,2020-07-30 02:30:00,16102.92,42.02013,0.604838,38935,62.10055,9.9127,16659.04,10.82837,23.25222,1.004949
c3,c3log,gcrew_2020-07-30 02:45:00_c3log,2020-07-30 02:45:00,2020-07-30 02:45:00,16104.51,42.04372,0.605178,38936,62.09439,9.91355,16660.34,10.82922,23.25327,1.00495
c3,c3log,gcrew_2020-07-30 03:00:00_c3log,2020-07-30 03:00:00,2020-07-30 03:00:00,16105.66,41.99707,0.604507,38937,62.08999,9.9141,16661.18,10.82977,23.25433,1.00495
c3,c3log,gcrew_2020-07-30 03:15:00_c3log,2020-07-30 03:15:00,2020-07-30 03:15:00,16100.64,41.98753,0.604369,38938,62.10933,9.91049,16655.59,10.82613,23.25555,1.004947
c3,c3log,gcrew_2020-07-30 03:30:00_c3log,2020-07-30 03:30:00,2020-07-30 03:30:00,16109.92,42.03437,0.605043,38939,62.07354,9.91665,16665.13,10.83234,23.25573,1.004951
c3,c3log,gcrew_2020-07-30 03:45:00_c3log,2020-07-30 03:45:00,2020-07-30 03:45:00,16107.46,41.98302,0.604304,38940,62.08304,9.91481,16662.26,10.83047,23.25671,1.00495
c3,c3log,gcrew_2020-07-30 04:00:00_c3log,2020-07-30 04:00:00,2020-07-30 04:00:00,16104.98,41.97349,0.604167,38941,62.09258,9.91301,16659.47,10.82866,23.2574,1.004948
c3,c3log,gcrew_2020-07-30 04:15:00_c3log,2020-07-30 04:15:00,2020-07-30 04:15:00,16107.36,41.95891,0.603957,38942,62.08342,9.91436,16661.55,10.83001,23.25855,1.004949
c3,c3log,gcrew_2020-07-30 04:30:00_c3log,2020-07-30 04:30:00,2020-07-30 04:30:00,16110.64,41.96918,0.604105,38943,62.07079,9.91626,16664.48,10.83191,23.25996,1.00495
c3,c3log,gcrew_2020-07-30 04:45:00_c3log,2020-07-30 04:45:00,2020-07-30 04:45:00,16107.45,41.99277,0.604445,38944,62.08307,9.91407,16661.1,10.82971,23.26022,1.004948
c3,c3log,gcrew_2020-07-30 05:00:00_c3log,2020-07-30 05:00:00,2020-07-30 05:00:00,16112.04,41.98753,0.604369,38945,62.06538,9.91687,16665.41,10.83252,23.26153,1.00495
c3,c3log,gcrew_2020-07-30 05:15:00_c3log,2020-07-30 05:15:00,2020-07-30 05:15:00,16106.08,41.99277,0.604445,38946,62.08834,9.91272,16658.99,10.82834,23.26232,1.004947
c3,c3log,gcrew_2020-07-30 05:30:00_c3log,2020-07-30 05:30:00,2020-07-30 05:30:00,16110.56,41.91836,0.603374,38947,62.0711,9.91542,16663.16,10.83105,23.26373,1.004948
c3,c3log,gcrew_2020-07-30 05:45:00_c3log,2020-07-30 05:45:00,2020-07-30 05:45:00,16106.52,41.93108,0.603557,38948,62.08667,9.9126,16658.77,10.8282,23.26434,1.004946
c3,c3log,gcrew_2020-07-30 06:00:00_c3log,2020-07-30 06:00:00,2020-07-30 06:00:00,16112.24,41.92744,0.603504,38949,62.0646,9.91618,16664.32,10.83181,23.26548,1.004948
c3,c3log,gcrew_2020-07-30 06:15:00_c3log,2020-07-30 06:15:00,2020-07-30 06:15:00,16115,41.96521,0.604048,38950,62.05399,9.91782,16666.85,10.83345,23.26645,1.004949
c3,c3log,gcrew_2020-07-30 06:30:00_c3log,2020-07-30 06:30:00,2020-07-30 06:30:00,16109.37,41.98302,0.604304,38951,62.07569,9.91392,16660.8,10.82952,23.26715,1.004946
c3,c3log,gcrew_2020-07-30 06:45:00_c3log,2020-07-30 06:45:00,2020-07-30 06:45:00,16110.1,41.9548,0.603898,38952,62.07286,9.91422,16661.26,10.82982,23.26804,1.004946
c3,c3log,gcrew_2020-07-30 07:00:00_c3log,2020-07-30 07:00:00,2020-07-30 07:00:00,16114.34,41.9548,0.603898,38953,62.05653,9.91689,16665.39,10.8325,23.26882,1.004948
c3,c3log,gcrew_2020-07-30 07:15:00_c3log,2020-07-30 07:15:00,2020-07-30 07:15:00,16113.41,41.92253,0.603434,38954,62.06009,9.91598,16663.97,10.83158,23.27023,1.004947
c3,c3log,gcrew_2020-07-30 07:30:00_c3log,2020-07-30 07:30:00,2020-07-30 07:30:00,16113.41,41.94546,0.603764,38955,62.06009,9.91584,16663.74,10.83143,23.27094,1.004947
c3,c3log,gcrew_2020-07-30 07:45:00_c3log,2020-07-30 07:45:00,2020-07-30 07:45:00,16108.88,41.8855,0.602901,38956,62.07756,9.91266,16658.82,10.82823,23.27164,1.004944
c3,c3log,gcrew_2020-07-30 08:00:00_c3log,2020-07-30 08:00:00,2020-07-30 08:00:00,16117.42,41.8855,0.602901,38957,62.04467,9.91816,16667.33,10.83376,23.27261,1.004948
c3,c3log,gcrew_2020-07-30 08:15:00_c3log,2020-07-30 08:15:00,2020-07-30 08:15:00,16115.17,41.89047,0.602972,38958,62.05335,9.91657,16664.85,10.83216,23.27305,1.004947
c3,c3log,gcrew_2020-07-30 08:30:00_c3log,2020-07-30 08:30:00,2020-07-30 08:30:00,16119.19,41.84349,0.602296,38959,62.03784,9.91904,16668.67,10.83464,23.2741,1.004948
c3,c3log,gcrew_2020-07-30 08:45:00_c3log,2020-07-30 08:45:00,2020-07-30 08:45:00,16121.92,41.76895,0.601223,38960,62.02736,9.92068,16671.2,10.83628,23.27498,1.004949
c3,c3log,gcrew_2020-07-30 09:00:00_c3log,2020-07-30 09:00:00,2020-07-30 09:00:00,16122.91,41.78744,0.601489,38961,62.02354,9.92125,16672.08,10.83685,23.27541,1.00495
c3,c3log,gcrew_2020-07-30 09:15:00_c3log,2020-07-30 09:15:00,2020-07-30 09:15:00,16121.29,41.75948,0.601087,38962,62.02977,9.92008,16670.26,10.83567,23.27586,1.004949
c3,c3log,gcrew_2020-07-30 09:30:00_c3log,2020-07-30 09:30:00,2020-07-30 09:30:00,16125.22,41.644,0.599424,38963,62.01465,9.92252,16674.04,10.83812,23.27674,1.00495
c3,c3log,gcrew_2020-07-30 09:45:00_c3log,2020-07-30 09:45:00,2020-07-30 09:45:00,16123.49,41.60537,0.598868,38964,62.02132,9.92121,16672.01,10.83681,23.27744,1.004949
c3,c3log,gcrew_2020-07-30 10:00:00_c3log,2020-07-30 10:00:00,2020-07-30 10:00:00,16120.21,41.60537,0.598868,38965,62.03393,9.91873,16668.16,10.8343,23.27885,1.004947
c3,c3log,gcrew_2020-07-30 10:15:00_c3log,2020-07-30 10:15:00,2020-07-30 10:15:00,16126.04,41.47585,0.597004,38966,62.0115,9.92219,16673.5,10.83777,23.28095,1.004949
c3,c3log,gcrew_2020-07-30 10:30:00_c3log,2020-07-30 10:30:00,2020-07-30 10:30:00,16128.11,41.45239,0.596666,38967,62.00354,9.92306,16674.83,10.83864,23.28342,1.004949
c3,c3log,gcrew_2020-07-30 10:45:00_c3log,2020-07-30 10:45:00,2020-07-30 10:45:00,16136.55,41.42423,0.596261,38968,61.97113,9.92807,16682.56,10.84366,23.2864,1.004952
c3,c3log,gcrew_2020-07-30 11:00:00_c3log,2020-07-30 11:00:00,2020-07-30 11:00:00,16137.63,41.36427,0.595398,38969,61.96698,9.92761,16681.8,10.84317,23.29211,1.00495
c3,c3log,gcrew_2020-07-30 11:15:00_c3log,2020-07-30 11:15:00,2020-07-30 11:15:00,16137.37,41.34035,0.595054,38970,61.96797,9.92667,16680.32,10.8422,23.2958,1.004949
