site,logger,rowid,time2,timestamp,actual_conductivity,depth,pressure,record,resistivity,salinity,specific_conductivity,tds,temperature,water_density
c3,c3log,gcrew_2020-07-29 02:00:00_c3log,2020-07-29 02:00:00,2020-07-29 02:00:00,16025.65,43.52975,0.626568,38837,62.39995,9.88341,16614.55,10.79946,23.14426,1.004955
c3,c3log,gcrew_2020-07-29 02:15:00_c3log,2020-07-29 02:15:00,2020-07-29 02:15:00,16025.89,43.52975,0.626568,38838,62.39902,9.88345,16614.62,10.79951,23.14479,1.004954
c3,c3log,gcrew_2020-07-29 02:30:00_c3log,2020-07-29 02:30:00,2020-07-29 02:30:00,16026.27,43.50622,0.626229,38839,62.39756,9.88345,16614.61,10.7995,23.14601,1.004954
c3,c3log,gcrew_2020-07-29 02:45:00_c3log,2020-07-29 02:45:00,2020-07-29 02:45:00,16027.19,43.50622,0.626229,38840,62.39398,9.88381,16615.16,10.79985,23.14725,1.004954
c3,c3log,gcrew_2020-07-29 03:00:00_c3log,2020-07-29 03:00:00,2020-07-29 03:00:00,16053.23,43.50112,0.626156,38841,62.29277,9.90101,16641.78,10.81716,23.14838,1.004967
c3,c3log,gcrew_2020-07-29 03:15:00_c3log,2020-07-29 03:15:00,2020-07-29 03:15:00,16025.18,43.51597,0.626369,38842,62.40179,9.88187,16612.13,10.79788,23.15014,1.004952
c3,c3log,gcrew_2020-07-29 03:30:00_c3log,2020-07-29 03:30:00,2020-07-29 03:30:00,16027.75,43.52034,0.626432,38843,62.39178,9.8835,16614.65,10.79952,23.15058,1.004953
c3,c3log,gcrew_2020-07-29 03:45:00_c3log,2020-07-29 03:45:00,2020-07-29 03:45:00,16027.16,43.51597,0.626369,38844,62.39409,9.88272,16613.43,10.79873,23.15242,1.004952
c3,c3log,gcrew_2020-07-29 04:00:00_c3log,2020-07-29 04:00:00,2020-07-29 04:00:00,16028.33,43.53465,0.626638,38845,62.38954,9.88347,16614.58,10.79948,23.1526,1.004953
c3,c3log,gcrew_2020-07-29 04:15:00_c3log,2020-07-29 04:15:00,2020-07-29 04:15:00,16027.94,43.51133,0.626303,38846,62.39107,9.88279,16613.51,10.79878,23.15462,1.004952
c3,c3log,gcrew_2020-07-29 04:30:00_c3log,2020-07-29 04:30:00,2020-07-29 04:30:00,16028.44,43.51133,0.626303,38847,62.38909,9.88293,16613.72,10.79892,23.15559,1.004951
c3,c3log,gcrew_2020-07-29 04:45:00_c3log,2020-07-29 04:45:00,2020-07-29 04:45:00,16064.88,43.46469,0.625631,38848,62.2476,9.90711,16651.16,10.82326,23.15655,1.004969
c3,c3log,gcrew_2020-07-29 05:00:00_c3log,2020-07-29 05:00:00,2020-07-29 05:00:00,16028.67,43.46469,0.625631,38849,62.38822,9.88255,16613.11,10.79852,23.15813,1.00495
c3,c3log,gcrew_2020-07-29 05:15:00_c3log,2020-07-29 05:15:00,2020-07-29 05:15:00,16028.8,43.49245,0.626031,38850,62.38771,9.88244,16612.93,10.7984,23.1591,1.00495
c3,c3log,gcrew_2020-07-29 05:30:00_c3log,2020-07-29 05:30:00,2020-07-29 05:30:00,16029.29,43.47873,0.625834,38851,62.38579,9.88229,16612.69,10.79825,23.16139,1.004949
c3,c3log,gcrew_2020-07-29 05:45:00_c3log,2020-07-29 05:45:00,2020-07-29 05:45:00,16028.7,43.46469,0.625631,38852,62.38809,9.88168,16611.73,10.79762,23.16243,1.004949
c3,c3log,gcrew_2020-07-29 06:00:00_c3log,2020-07-29 06:00:00,2020-07-29 06:00:00,16032.47,43.42301,0.625031,38853,62.37341,9.88395,16615.24,10.7999,23.16367,1.00495
c3,c3log,gcrew_2020-07-29 06:15:00_c3log,2020-07-29 06:15:00,2020-07-29 06:15:00,16035.32,43.41777,0.624956,38854,62.36234,9.88545,16617.55,10.80141,23.1656,1.004951
c3,c3log,gcrew_2020-07-29 06:30:00_c3log,2020-07-29 06:30:00,2020-07-29 06:30:00,16032.58,43.45998,0.625564,38855,62.37298,9.88335,16614.28,10.79928,23.16692,1.004949
c3,c3log,gcrew_2020-07-29 06:45:00_c3log,2020-07-29 06:45:00,2020-07-29 06:45:00,16032.63,43.47436,0.625771,38856,62.37279,9.88298,16613.7,10.7989,23.16885,1.004948
c3,c3log,gcrew_2020-07-29 07:00:00_c3log,2020-07-29 07:00:00,2020-07-29 07:00:00,16028.5,43.46945,0.6257,38857,62.38886,9.88002,16609.1,10.79591,23.16982,1.004945
c3,c3log,gcrew_2020-07-29 07:15:00_c3log,2020-07-29 07:15:00,2020-07-29 07:15:00,16035.49,43.44123,0.625294,38858,62.36169,9.88426,16615.64,10.80017,23.17193,1.004948
c3,c3log,gcrew_2020-07-29 07:30:00_c3log,2020-07-29 07:30:00,2020-07-29 07:30:00,16032.58,43.45554,0.6255,38859,62.373,9.88206,16612.23,10.79795,23.17315,1.004946
c3,c3log,gcrew_2020-07-29 07:45:00_c3log,2020-07-29 07:45:00,2020-07-29 07:45:00,16018.77,43.46945,0.6257,38860,62.42675,9.87251,16597.43,10.78833,23.17465,1.004939
c3,c3log,gcrew_2020-07-29 08:00:00_c3log,2020-07-29 08:00:00,2020-07-29 08:00:00,16036.53,43.43619,0.625221,38861,62.35762,9.88408,16615.34,10.79997,23.17614,1.004947
c3,c3log,gcrew_2020-07-29 08:15:00_c3log,2020-07-29 08:15:00,2020-07-29 08:15:00,16041.17,43.42765,0.625098,38862,62.33958,9.88694,16619.75,10.80284,23.17736,1.004949
c3,c3log,gcrew_2020-07-29 08:30:00_c3log,2020-07-29 08:30:00,2020-07-29 08:30:00,16033.53,43.43242,0.625167,38863,62.36928,9.88146,16611.26,10.79732,23.17912,1.004944
c3,c3log,gcrew_2020-07-29 08:45:00_c3log,2020-07-29 08:45:00,2020-07-29 08:45:00,16039.97,43.28679,0.623071,38864,62.34426,9.88544,16617.4,10.80131,23.1807,1.004947
c3,c3log,gcrew_2020-07-29 09:00:00_c3log,2020-07-29 09:00:00,2020-07-29 09:00:00,16042.14,43.37207,0.624298,38865,62.33581,9.88664,16619.25,10.80251,23.18194,1.004948
c3,c3log,gcrew_2020-07-29 09:15:00_c3log,2020-07-29 09:15:00,2020-07-29 09:15:00,16038.95,43.34364,0.623889,38866,62.34822,9.88414,16615.36,10.79998,23.18369,1.004945
c3,c3log,gcrew_2020-07-29 09:30:00_c3log,2020-07-29 09:30:00,2020-07-29 09:30:00,16038.99,43.34364,0.623889,38867,62.34807,9.88395,16615.06,10.79979,23.18475,1.004945
c3,c3log,gcrew_2020-07-29 09:45:00_c3log,2020-07-29 09:45:00,2020-07-29 09:45:00,16041.39,43.29216,0.623148,38868,62.33874,9.88528,16617.11,10.80112,23.18607,1.004945
c3,c3log,gcrew_2020-07-29 10:00:00_c3log,2020-07-29 10:00:00,2020-07-29 10:00:00,16049.57,43.3392,0.623825,38869,62.30697,9.89028,16624.83,10.80614,23.18835,1.004949
c3,c3log,gcrew_2020-07-29 10:15:00_c3log,2020-07-29 10:15:00,2020-07-29 10:15:00,16045.43,43.23147,0.622274,38870,62.32305,9.88727,16620.16,10.80311,23.18949,1.004946
c3,c3log,gcrew_2020-07-29 10:30:00_c3log,2020-07-29 10:30:00,2020-07-29 10:30:00,16046.66,43.23147,0.622274,38871,62.31827,9.88788,16621.09,10.80371,23.19054,1.004946
c3,c3log,gcrew_2020-07-29 10:45:00_c3log,2020-07-29 10:45:00,2020-07-29 10:45:00,16052.58,43.07743,0.620057,38872,62.29528,9.89149,16626.68,10.80734,23.19221,1.004948
c3,c3log,gcrew_2020-07-29 11:00:00_c3log,2020-07-29 11:00:00,2020-07-29 11:00:00,16055.01,43.04489,0.619589,38873,62.28585,9.89279,16628.68,10.80864,23.19379,1.004949
c3,c3log,gcrew_2020-07-29 11:15:00_c3log,2020-07-29 11:15:00,2020-07-29 11:15:00,16056.29,43.16707,0.621347,38874,62.28087,9.8933,16629.46,10.80915,23.19547,1.004949
c3,c3log,gcrew_2020-07-29 11:30:00_c3log,2020-07-29 11:30:00,2020-07-29 11:30:00,16058.73,43.00733,0.619048,38875,62.27141,9.89468,16631.58,10.81052,23.1967,1.00495
c3,c3log,gcrew_2020-07-29 11:45:00_c3log,2020-07-29 11:45:00,2020-07-29 11:45:00,16053.68,42.96585,0.618451,38876,62.29101,9.89106,16625.97,10.80688,23.19783,1.004947
