Logger,Table,loggernet_variable,Site,Plot,Instrument,Instrument_ID,Sensor_ID,Location,valid_through,research_name,note
Compass_PTR_UP_313,WaterLevel600A,Statname,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,BattV_Avg,PTR,UP,AquaTROLL600,A,,,,battery_voltage,
Compass_PTR_UP_313,WaterLevel600A,Barometric_Pressure600A,PTR,UP,AquaTROLL600,A,,,,gw_bar_pressure,
Compass_PTR_UP_313,WaterLevel600A,Temperature600A,PTR,UP,AquaTROLL600,A,,,,gw_temperature,
Compass_PTR_UP_313,WaterLevel600A,Aquatroll_IDA(1),PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Actual_Conductivity600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Specific_Conductivity600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Salinity600A,PTR,UP,AquaTROLL600,A,,,,gw_salinity,
Compass_PTR_UP_313,WaterLevel600A,TDS600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Water_Density600A,PTR,UP,AquaTROLL600,A,,,,gw_density,
Compass_PTR_UP_313,WaterLevel600A,Resistivity600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,pH600A,PTR,UP,AquaTROLL600,A,,,,gw_ph,
Compass_PTR_UP_313,WaterLevel600A,pH_mV600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,pH_ORP600A,PTR,UP,AquaTROLL600,A,,,,gw_ph_orp,
Compass_PTR_UP_313,WaterLevel600A,RDO_concen600A,PTR,UP,AquaTROLL600,A,,,,gw_rdo_conc,
Compass_PTR_UP_313,WaterLevel600A,RDO_perc_sat600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,RDO_part_Pressure600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Pressure600A,PTR,UP,AquaTROLL600,A,,,,gw_pressure,
Compass_PTR_UP_313,WaterLevel600A,Depth600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Voltage,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Voltage_Ext600A,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Battery_Int600A,PTR,UP,AquaTROLL600,A,,,,,
,,,,,,,,,,,
Compass_PTR_UP_313,TerosTableA,RECORD,PTR,UP,TEROS12,,,,,,
Compass_PTR_UP_313,TerosTableA,PB,PTR,UP,TEROS12,,,,,,
Compass_PTR_UP_313,TerosTableA,Format,PTR,UP,TEROS12,,,,,,
Compass_PTR_UP_313,TerosTableA,Statname,PTR,UP,TEROS12,,,,,,
Compass_PTR_UP_313,TerosTableA,BattV_Avg,PTR,UP,TEROS12,A,,,,battery_voltage,
Compass_PTR_UP_313,TerosTableA,"TerosA({1:4},1)",PTR,UP,TEROS12,A,{1:4},,,soil_vwc_10cm,
Compass_PTR_UP_313,TerosTableA,"TerosA({5:6},1)",PTR,UP,TEROS12,A,{5:6},,,soil_vwc_30cm,
Compass_PTR_UP_313,TerosTableA,"TerosA({1:4},2)",PTR,UP,TEROS12,A,{1:4},,,soil_temp_10cm,
Compass_PTR_UP_313,TerosTableA,"TerosA({5:6},2)",PTR,UP,TEROS12,A,{5:6},,,soil_temp_30cm,
Compass_PTR_UP_313,TerosTableA,"TerosA({1:4},3)",PTR,UP,TEROS12,A,{1:4},,,soil_EC_10cm,
Compass_PTR_UP_313,TerosTableA,"TerosA({5:6},3)",PTR,UP,TEROS12,A,{5:6},,,soil_EC_30cm,
,,,,,,,,,,,
Compass_PTR_TR_312,CheckTable,Format,PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,RECORD,PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,BattV,PTR,TR,Datalogger,312,,,,battery_voltage,
Compass_PTR_TR_312,CheckTable,SolarV,PTR,TR,Datalogger,312,,,,solar_voltage,
Compass_PTR_TR_312,CheckTable,Batt_CHECK,PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,Solar_CHECK,PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,Flag({1:14}),PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,Statname,PTR,TR,Datalogger,312,,,,,
Compass_PTR_TR_312,CheckTable,PB,PTR,TR,Datalogger,312,,,,,
,,,,,,,,,,,
Compass_PTR_TR_312,SapflowB,RECORD,PTR,TR,Sapflow,,,,,,
Compass_PTR_TR_312,SapflowB,PB,PTR,TR,Sapflow,,,,,,
Compass_PTR_TR_312,SapflowB,Format,PTR,TR,Sapflow,,,,,,
Compass_PTR_TR_312,SapflowB,Statname,PTR,TR,Sapflow,,,,,,
Compass_PTR_TR_312,SapflowB,BattV_Avg,PTR,TR,Sapflow,B,,,,battery_voltage,
Compass_PTR_TR_312,SapflowB,DiffVoltB_Avg({1:8}),PTR,TR,Sapflow,B,0{1:8},,,sapflow_2.5cm,
Compass_PTR_TR_312,SapflowB,DiffVoltB_Avg({9:12}),PTR,TR,Sapflow,B,"0{1,2,5,7}D",,,sapflow_5cm,
,,,,,,,,,,,
Compass_PTR_TR_312,WaterLevel600B,RECORD,PTR,TR,AquaTROLL600,B,,,,,
Compass_PTR_TR_312,WaterLevel600B,PB,PTR,TR,AquaTROLL600,B,,,,,
Compass_PTR_TR_312,WaterLevel600B,Format,PTR,TR,AquaTROLL600,B,,,,,
Compass_PTR_TR_312,WaterLevel600B,Statname,PTR,TR,AquaTROLL600,B,,,,,
Compass_PTR_TR_312,WaterLevel600B,BattV_Avg,PTR,TR,AquaTROLL600,B,,,,battery_voltage,
Compass_PTR_TR_312,WaterLevel600B,Barometric_Pressure600B,PTR,TR,AquaTROLL600,B,,,,gw_bar_pressure,
Compass_PTR_TR_312,WaterLevel600B,Temperature600B,PTR,TR,AquaTROLL600,B,,,,gw_temperature,
Compass_PTR_TR_312,WaterLevel600B,Aquatroll_IDB(1),PTR,TR,AquaTROLL600,B,,,,,
Compass_PTR_TR_312,WaterLevel600B,Actual_Conductivity600B,PTR,TR,AquaTROLL600,B,,,,gw_act_cond,
Compass_PTR_TR_312,WaterLevel600B,Specific_Conductivity600B,PTR,TR,AquaTROLL600,B,,,,gw_spec_cond,
Compass_PTR_TR_312,WaterLevel600B,Salinity600B,PTR,TR,AquaTROLL600,B,,,,gw_salinity,
Compass_PTR_TR_312,WaterLevel600B,TDS600B,PTR,TR,AquaTROLL600,B,,,,gw_tds,
Compass_PTR_TR_312,WaterLevel600B,Water_Density600B,PTR,TR,AquaTROLL600,B,,,,gw_density,
Compass_PTR_TR_312,WaterLevel600B,Resistivity600B,PTR,TR,AquaTROLL600,B,,,,gw_resistivity,
Compass_PTR_TR_312,WaterLevel600B,pH600B,PTR,TR,AquaTROLL600,B,,,,gw_ph,
Compass_PTR_TR_312,WaterLevel600B,pH_mV600B,PTR,TR,AquaTROLL600,B,,,,gw_ph_mv,
Compass_PTR_TR_312,WaterLevel600B,pH_ORP600B,PTR,TR,AquaTROLL600,B,,,,gw_ph_orp,
Compass_PTR_TR_312,WaterLevel600B,RDO_concen600B,PTR,TR,AquaTROLL600,B,,,,gw_rdo_conc,
Compass_PTR_TR_312,WaterLevel600B,RDO_perc_sat600B,PTR,TR,AquaTROLL600,B,,,,gw_perc_sat,
Compass_PTR_TR_312,WaterLevel600B,RDO_part_Pressure600B,PTR,TR,AquaTROLL600,B,,,,gw_part_pressure,check w PR: is this atm p or water p
Compass_PTR_TR_312,WaterLevel600B,Pressure600B,PTR,TR,AquaTROLL600,B,,,,gw_pressure,
Compass_PTR_TR_312,WaterLevel600B,Depth600B,PTR,TR,AquaTROLL600,B,,,,gw_depth,
Compass_PTR_TR_312,WaterLevel600B,Voltage,PTR,TR,AquaTROLL600,B,,,,gw_voltage,
Compass_PTR_TR_312,WaterLevel600B,Voltage_Ext600B,PTR,TR,AquaTROLL600,B,,,,gw_voltage_ext,
Compass_PTR_TR_312,WaterLevel600B,Battery_Int600B,PTR,TR,AquaTROLL600,B,,,,gw_battery,
,,,,,,,,,,,
Compass_PTR_TR_312,TerosTableB,RECORD,PTR,TR,TEROS12,,,,,,
Compass_PTR_TR_312,TerosTableB,PB,PTR,TR,TEROS12,,,,,,
Compass_PTR_TR_312,TerosTableB,Format,PTR,TR,TEROS12,,,,,,
Compass_PTR_TR_312,TerosTableB,Statname,PTR,TR,TEROS12,,,,,,
Compass_PTR_TR_312,TerosTableB,BattV_Avg,PTR,TR,TEROS12,B,,,,battery_voltage,
Compass_PTR_TR_312,TerosTableB,"TerosB({1:4},1)",PTR,TR,TEROS12,B,{1:4},,,soil_vwc_10cm,
Compass_PTR_TR_312,TerosTableB,"TerosB({5:6},1)",PTR,TR,TEROS12,B,{5:6},,,soil_vwc_30cm,
Compass_PTR_TR_312,TerosTableB,"TerosB({1:4},2)",PTR,TR,TEROS12,B,{1:4},,,soil_temp_10cm,
Compass_PTR_TR_312,TerosTableB,"TerosB({5:6},2)",PTR,TR,TEROS12,B,{5:6},,,soil_temp_30cm,
Compass_PTR_TR_312,TerosTableB,"TerosB({1:4},3)",PTR,TR,TEROS12,B,{1:4},,,soil_EC_10cm,
Compass_PTR_TR_312,TerosTableB,"TerosB({5:6},3)",PTR,TR,TEROS12,B,{5:6},,,soil_EC_30cm,
,,,,,,,,,,,
Compass_PTR_W_311,CheckTable,Format,PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,RECORD,PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,BattV,PTR,W,Datalogger,311,,,,battery_voltage,
Compass_PTR_W_311,CheckTable,SolarV,PTR,W,Datalogger,311,,,,solar_voltage,
Compass_PTR_W_311,CheckTable,Batt_CHECK,PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,Solar_CHECK,PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,Flag({1:14}),PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,Statname,PTR,W,Datalogger,311,,,,,
Compass_PTR_W_311,CheckTable,PB,PTR,W,Datalogger,311,,,,,
,,,,,,,,,,,
Compass_PTR_W_311,WaterLevel600C,RECORD,PTR,W,AquaTROLL600,C,,,,,
Compass_PTR_W_311,WaterLevel600C,PB,PTR,W,AquaTROLL600,C,,,,,
Compass_PTR_W_311,WaterLevel600C,Format,PTR,W,AquaTROLL600,C,,,,,
Compass_PTR_W_311,WaterLevel600C,Statname,PTR,W,AquaTROLL600,C,,,,,
Compass_PTR_W_311,WaterLevel600C,BattV_Avg,PTR,W,AquaTROLL600,C,,,,battery_voltage,
Compass_PTR_W_311,WaterLevel600C,Barometric_Pressure600C,PTR,W,AquaTROLL600,C,,,,gw_bar_pressure,
Compass_PTR_W_311,WaterLevel600C,Temperature600C,PTR,W,AquaTROLL600,C,,,,gw_temperature,
Compass_PTR_W_311,WaterLevel600C,Aquatroll_IDC(1),PTR,W,AquaTROLL600,C,,,,,
Compass_PTR_W_311,WaterLevel600C,Actual_Conductivity600C,PTR,W,AquaTROLL600,C,,,,gw_act_cond,
Compass_PTR_W_311,WaterLevel600C,Specific_Conductivity600C,PTR,W,AquaTROLL600,C,,,,gw_spec_cond,
Compass_PTR_W_311,WaterLevel600C,Salinity600C,PTR,W,AquaTROLL600,C,,,,gw_salinity,
Compass_PTR_W_311,WaterLevel600C,TDS600C,PTR,W,AquaTROLL600,C,,,,gw_tds,
Compass_PTR_W_311,WaterLevel600C,Water_Density600C,PTR,W,AquaTROLL600,C,,,,gw_density,
Compass_PTR_W_311,WaterLevel600C,Resistivity600C,PTR,W,AquaTROLL600,C,,,,gw_resistivity,
Compass_PTR_W_311,WaterLevel600C,pH600C,PTR,W,AquaTROLL600,C,,,,gw_ph,
Compass_PTR_W_311,WaterLevel600C,pH_mV600C,PTR,W,AquaTROLL600,C,,,,gw_ph_mv,
Compass_PTR_W_311,WaterLevel600C,pH_ORP600C,PTR,W,AquaTROLL600,C,,,,gw_ph_orp,
Compass_PTR_W_311,WaterLevel600C,RDO_concen600C,PTR,W,AquaTROLL600,C,,,,gw_rdo_conc,
Compass_PTR_W_311,WaterLevel600C,RDO_perc_sat600C,PTR,W,AquaTROLL600,C,,,,gw_perc_sat,
Compass_PTR_W_311,WaterLevel600C,RDO_part_Pressure600C,PTR,W,AquaTROLL600,C,,,,gw_part_pressure,
Compass_PTR_W_311,WaterLevel600C,Pressure600C,PTR,W,AquaTROLL600,C,,,,gw_pressure,
Compass_PTR_W_311,WaterLevel600C,Depth600C,PTR,W,AquaTROLL600,C,,,,gw_depth,
Compass_PTR_W_311,WaterLevel600C,Voltage,PTR,W,AquaTROLL600,C,,,,gw_voltage,
Compass_PTR_W_311,WaterLevel600C,Voltage_Ext600C,PTR,W,AquaTROLL600,C,,,,gw_voltage_ext,
Compass_PTR_W_311,WaterLevel600C,Battery_Int600C,PTR,W,AquaTROLL600,C,,,,gw_battery,
,,,,,,,,,,,
Compass_PTR_W_311,TerosTableC,RECORD,PTR,W,TEROS12,,,,,,
Compass_PTR_W_311,TerosTableC,PB,PTR,W,TEROS12,,,,,,
Compass_PTR_W_311,TerosTableC,Format,PTR,W,TEROS12,,,,,,
Compass_PTR_W_311,TerosTableC,Statname,PTR,W,TEROS12,,,,,,
Compass_PTR_W_311,TerosTableC,BattV_Avg,PTR,W,TEROS12,C,,,,battery_voltage,
Compass_PTR_W_311,TerosTableC,"TerosC({1:4},1)",PTR,W,TEROS12,C,{1:4},,,soil_vwc_10cm,
Compass_PTR_W_311,TerosTableC,"TerosC({5:6},1)",PTR,W,TEROS12,C,{5:6},,,soil_vwc_30cm,
Compass_PTR_W_311,TerosTableC,"TerosC({1:4},2)",PTR,W,TEROS12,C,{1:4},,,soil_temp_10cm,
Compass_PTR_W_311,TerosTableC,"TerosC({5:6},2)",PTR,W,TEROS12,C,{5:6},,,soil_temp_30cm,
Compass_PTR_W_311,TerosTableC,"TerosC({1:4},3)",PTR,W,TEROS12,C,{1:4},,,soil_EC_10cm,
Compass_PTR_W_311,TerosTableC,"TerosC({5:6},3)",PTR,W,TEROS12,C,{5:6},,,soil_EC_30cm,
,,,,,,,,,,,
Compass_PTR_W_311,ClimaVue50_15min,Format,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_15min,RECORD,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_15min,SlrFD_W_Avg,PTR,W,ClimaVUE50,A,,,,wx_slr_fd15,
Compass_PTR_W_311,ClimaVue50_15min,SlrTF_MJ_Tot,PTR,W,ClimaVUE50,A,,,,wx_slr_tf15,
Compass_PTR_W_311,ClimaVue50_15min,Rain_mm_Tot,PTR,W,ClimaVUE50,A,,,,wx_rain15,
Compass_PTR_W_311,ClimaVue50_15min,WS_ms_S_WVT,PTR,W,ClimaVUE50,A,,,,wx_windspeed15,
Compass_PTR_W_311,ClimaVue50_15min,WindDir_D1_WVT,PTR,W,ClimaVUE50,A,,,,wx_winddir15,
Compass_PTR_W_311,ClimaVue50_15min,WindDir_SD1_WVT,PTR,W,ClimaVUE50,A,,,,wx_winddir_sd115,
Compass_PTR_W_311,ClimaVue50_15min,MaxWS_ms_Max,PTR,W,ClimaVUE50,A,,,,wx_maxws15,
Compass_PTR_W_311,ClimaVue50_15min,MaxWS_ms_TMx,PTR,W,ClimaVUE50,A,,,,wx_maxws_tmx15,
Compass_PTR_W_311,ClimaVue50_15min,Invalid_Wind_Tot,PTR,W,ClimaVUE50,A,,,,wx_invalid_wind15,
Compass_PTR_W_311,ClimaVue50_15min,AirT_C_Avg,PTR,W,ClimaVUE50,A,,,,wx_tempavg15,
Compass_PTR_W_311,ClimaVue50_15min,AirT_C_Max,PTR,W,ClimaVUE50,A,,,,wx_tempmax15,
Compass_PTR_W_311,ClimaVue50_15min,AirT_C_TMx,PTR,W,ClimaVUE50,A,,,,wx_temptmx15,
Compass_PTR_W_311,ClimaVue50_15min,AirT_C_Min,PTR,W,ClimaVUE50,A,,,,wx_tempmin15,
Compass_PTR_W_311,ClimaVue50_15min,AirT_C_TMn,PTR,W,ClimaVUE50,A,,,,wx_temptmn15,
Compass_PTR_W_311,ClimaVue50_15min,VP_mbar_Avg,PTR,W,ClimaVUE50,A,,,,wx_vappress15,
Compass_PTR_W_311,ClimaVue50_15min,BP_mbar,PTR,W,ClimaVUE50,A,,,,wx_barpress15,
Compass_PTR_W_311,ClimaVue50_15min,BP_mbar_Max,PTR,W,ClimaVUE50,A,,,,wx_bpmax15,
Compass_PTR_W_311,ClimaVue50_15min,BP_mbar_TMx,PTR,W,ClimaVUE50,A,,,,wx_bptmx15,
Compass_PTR_W_311,ClimaVue50_15min,BP_mbar_Min,PTR,W,ClimaVUE50,A,,,,wx_bpmin15,
Compass_PTR_W_311,ClimaVue50_15min,BP_mbar_TMn,PTR,W,ClimaVUE50,A,,,,wx_bptmn15,
Compass_PTR_W_311,ClimaVue50_15min,RH,PTR,W,ClimaVUE50,A,,,,wx_rh15,
Compass_PTR_W_311,ClimaVue50_15min,RHT_C_Avg,PTR,W,ClimaVUE50,A,,,,wx_rht15,
Compass_PTR_W_311,ClimaVue50_15min,TiltNS_deg_Avg,PTR,W,ClimaVUE50,A,,,,wx_tilt_ns15,
Compass_PTR_W_311,ClimaVue50_15min,TiltWE_deg_Avg,PTR,W,ClimaVUE50,A,,,,wx_tilt_we15,
Compass_PTR_W_311,ClimaVue50_15min,Strikes_Tot,PTR,W,ClimaVUE50,A,,,,wx_strikes15,
Compass_PTR_W_311,ClimaVue50_15min,Dist_km_Min,PTR,W,ClimaVUE50,A,,,,wx_dist_min15,
Compass_PTR_W_311,ClimaVue50_15min,Dist_km_TMn,PTR,W,ClimaVUE50,A,,,,wx_dist_tmn15,
Compass_PTR_W_311,ClimaVue50_15min,PAR_Den_C_Avg,PTR,W,ClimaVUE50,A,,,,wx_par_den15,
Compass_PTR_W_311,ClimaVue50_15min,PAR_Tot_C_Tot,PTR,W,ClimaVUE50,A,,,,wx_par_tot15,
Compass_PTR_W_311,ClimaVue50_15min,CVMeta,PTR,W,ClimaVUE50,,,,,,
,,,,,,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,Format,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,RECORD,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,BattV_Min,PTR,W,ClimaVUE50,A,,,,battery_voltage,
Compass_PTR_W_311,ClimaVue50_24hr,Rain_mm_Tot,PTR,W,ClimaVUE50,A,,,,wx_rain24,
Compass_PTR_W_311,ClimaVue50_24hr,SlrFD_W_Avg,PTR,W,ClimaVUE50,A,,,,wx_slr_fd24,
Compass_PTR_W_311,ClimaVue50_24hr,SlrTF_MJ_Tot,PTR,W,ClimaVUE50,,,,,wx_slr_tf24,
Compass_PTR_W_311,ClimaVue50_24hr,WS_ms_WVc(1),PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,WS_ms_WVc(2),PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,WS_ms_S_WVT,PTR,W,ClimaVUE50,A,,,,wx_winderrors24,
Compass_PTR_W_311,ClimaVue50_24hr,MaxWS_ms_Max,PTR,W,ClimaVUE50,A,,,,wx_maxws24,
Compass_PTR_W_311,ClimaVue50_24hr,MaxWS_ms_TMx,PTR,W,ClimaVUE50,A,,,,wx_maxws_tmx24,
Compass_PTR_W_311,ClimaVue50_24hr,AirT_C_Avg,PTR,W,ClimaVUE50,A,,,,wx_tempavg24,
Compass_PTR_W_311,ClimaVue50_24hr,AirT_C_Max,PTR,W,ClimaVUE50,A,,,,wx_tempmax24,
Compass_PTR_W_311,ClimaVue50_24hr,AirT_C_TMx,PTR,W,ClimaVUE50,A,,,,wx_temptmx24,
Compass_PTR_W_311,ClimaVue50_24hr,AirT_C_Min,PTR,W,ClimaVUE50,A,,,,wx_tempmin24,
Compass_PTR_W_311,ClimaVue50_24hr,AirT_C_TMn,PTR,W,ClimaVUE50,A,,,,wx_temptmn24,
Compass_PTR_W_311,ClimaVue50_24hr,VP_mbar_Avg,PTR,W,ClimaVUE50,A,,,,wx_vappress24,
Compass_PTR_W_311,ClimaVue50_24hr,BP_mbar_Max,PTR,W,ClimaVUE50,A,,,,wx_bpmax24,
Compass_PTR_W_311,ClimaVue50_24hr,BP_mbar_TMx,PTR,W,ClimaVUE50,A,,,,wx_bptmx24,
Compass_PTR_W_311,ClimaVue50_24hr,BP_mbar_Min,PTR,W,ClimaVUE50,A,,,,wx_bpmin24,
Compass_PTR_W_311,ClimaVue50_24hr,BP_mbar_TMn,PTR,W,ClimaVUE50,A,,,,wx_bptmn24,
Compass_PTR_W_311,ClimaVue50_24hr,RH_Max,PTR,W,ClimaVUE50,A,,,,wx_rh24,
Compass_PTR_W_311,ClimaVue50_24hr,RH_Min,PTR,W,ClimaVUE50,A,,,,wx_rht24,
Compass_PTR_W_311,ClimaVue50_24hr,RHT_C_Max,PTR,W,ClimaVUE50,A,,,,wx_rhtmax24,
Compass_PTR_W_311,ClimaVue50_24hr,RHT_C_Min,PTR,W,ClimaVUE50,A,,,,wx_rhtmin24,
Compass_PTR_W_311,ClimaVue50_24hr,TiltNS_deg_Max,PTR,W,ClimaVUE50,A,,,,wx_tilt_ns24,
Compass_PTR_W_311,ClimaVue50_24hr,TiltNS_deg_TMx,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,TiltNS_deg_Min,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,TiltNS_deg_TMn,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,TiltWE_deg_Max,PTR,W,ClimaVUE50,A,,,,wx_tilt_we24,
Compass_PTR_W_311,ClimaVue50_24hr,TiltWE_deg_TMx,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,TiltWE_deg_Min,PTR,W,ClimaVUE50,,,,,,
Compass_PTR_W_311,ClimaVue50_24hr,PAR_Den_C_Avg,PTR,W,ClimaVUE50,A,,,,wx_par_den24,
Compass_PTR_W_311,ClimaVue50_24hr,PAR_Tot_C_Tot,PTR,W,ClimaVUE50,A,,,,wx_par_tot24,
Compass_PTR_W_311,ClimaVue50_24hr,CVMeta,PTR,W,ClimaVUE50,,,,,,
,,,,,,,,,,,
Compass_PTR_W_311,ExoTable,Format,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,RECORD,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,PB,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,Statname,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,Date,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,Time,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,Conductivity,PTR,W,EXO,A,,,,sonde_conductivity,
Compass_PTR_W_311,ExoTable,FDOM_QSU,PTR,W,EXO,A,,,,sonde_fdom,
Compass_PTR_W_311,ExoTable,FDOM_RFU,PTR,W,EXO,A,,,,sonde_fdom_rfu,
Compass_PTR_W_311,ExoTable,NLF_conductivity,PTR,W,EXO,A,,,,sonde_nlf_cond,
Compass_PTR_W_311,ExoTable,ODO_sat,PTR,W,EXO,A,,,,sonde_odo_sat,
Compass_PTR_W_311,ExoTable,ODO_local,PTR,W,EXO,A,,,,sonde_odo_local,
Compass_PTR_W_311,ExoTable,ODO_MgL,PTR,W,EXO,A,,,,sonde_odo_mgl,
Compass_PTR_W_311,ExoTable,Pressure_psia,PTR,W,EXO,A,,,,sonde_pressure,
Compass_PTR_W_311,ExoTable,Salinity_PPT,PTR,W,EXO,A,,,,sonde_salinity,
Compass_PTR_W_311,ExoTable,Specific_Conductivity_uScm,PTR,W,EXO,A,,,,sonde_spcond,
Compass_PTR_W_311,ExoTable,Wiper_Position_mv,PTR,W,EXO,A,,,,sonde_wiperpos,
Compass_PTR_W_311,ExoTable,pH,PTR,W,EXO,A,,,,sonde_ph,
Compass_PTR_W_311,ExoTable,pH_mv,PTR,W,EXO,A,,,,sonde_ph_mv,
Compass_PTR_W_311,ExoTable,Temp_C,PTR,W,EXO,A,,,,sonde_temp,
Compass_PTR_W_311,ExoTable,Depth_m,PTR,W,EXO,A,,,,sonde_depth,
Compass_PTR_W_311,ExoTable,Battery_v,PTR,W,EXO,A,,,,battery_voltage,
Compass_PTR_W_311,ExoTable,Cable_v,PTR,W,EXO,A,,,,sonde_cable,
Compass_PTR_W_311,ExoTable,Wiper_Current_ma,PTR,W,EXO,A,,,,sonde_wipercur,
Compass_PTR_W_311,ExoTable,sn,PTR,W,EXO,,,,,,
Compass_PTR_W_311,ExoTable,snn,PTR,W,EXO,,,,,,
,,,,,,,,,,,
Compass_PTR_Buoy,ExoTable,Format,PTR,Buoy,EXO,,,,,,
Compass_PTR_Buoy,ExoTable,RECORD,PTR,Buoy,EXO,,,,,,
Compass_PTR_Buoy,ExoTable,PB,PTR,Buoy,EXO,,,,,,
Compass_PTR_Buoy,ExoTable,Statname,PTR,Buoy,EXO,,,,,,
Compass_PTR_Buoy,ExoTable,Date,PTR,Buoy,EXO,,,,,,
Compass_PTR_Buoy,ExoTable,Time,PTR,Buoy,EXO,,,,,,
