Logger,Table,loggernet_variable,Site,Plot,Instrument,Instrument_ID,Sensor_ID,Location,valid_through,research_name,note
Compass_PTR_UP_313,CheckTable,Format,PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,RECORD,PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,BattV,PTR,UP,Datalogger,313,,,,battery_voltage,
Compass_PTR_UP_313,CheckTable,SolarV,PTR,UP,Datalogger,313,,,,solar_voltage,
Compass_PTR_UP_313,CheckTable,Batt_CHECK,PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,Solar_CHECK,PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,Flag({1:14}),PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,Statname,PTR,UP,Datalogger,313,,,,,
Compass_PTR_UP_313,CheckTable,PB,PTR,UP,Datalogger,313,,,,,
,,,,,,,,,,,
Compass_PTR_UP_313,SapflowA,RECORD,PTR,UP,Sapflow,,,,,,
Compass_PTR_UP_313,SapflowA,PB,PTR,UP,Sapflow,,,,,,
Compass_PTR_UP_313,SapflowA,Format,PTR,UP,Sapflow,,,,,,
Compass_PTR_UP_313,SapflowA,Statname,PTR,UP,Sapflow,,,,,,
Compass_PTR_UP_313,SapflowA,BattV_Avg,PTR,UP,Sapflow,A,,,,battery_voltage,
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg({1:8}),PTR,UP,Sapflow,A,0{1:8},,,sapflow_2.5cm,
Compass_PTR_UP_313,SapflowA,DiffVoltA_Avg({9:12}),PTR,UP,Sapflow,A,"0{1,2,3,8}D",,,sapflow_5cm,
,,,,,,,,,,,
Compass_PTR_UP_313,WaterLevel600A,RECORD,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,PB,PTR,UP,AquaTROLL600,A,,,,,
Compass_PTR_UP_313,WaterLevel600A,Format,PTR,UP,AquaTROLL600,A,,,,,
