Site,year,calibrated,deployed,retrieved,out_of_water,note,name
CRC,2022,2022-03-08,2022-03-10,2022-10-21,2022-07-19,Tube fixing,Fausto MS
OWC,2022,2022-03-07,2022-06-21,2022-11-11,2022-10-05,Firmware update,Fausto MS
PTR,2022,2022-07-19,2022-08-02,2022-10-21,2022-10-19,Stacked on sediment,Fausto MS
OWC,2023,2023-04-05,2023-04-11,2023-11-17,,,Fausto MS
CRC,2023,2023-04-05,2023-04-14,2023-11-17,2023-07-10,Tube fixing,Fausto MS
PTR,2023,2023-04-05,2023-06-19,2023-12-06,2023-11-25,Flying above water,Fausto MS
OWC,2024,2024-03-29,2024-03-29,,2024-04-05,Sensor DO Cap replacement,Fausto MS
